uql_query,natural_query
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:_-n3aDeRReSbBjvs3AlhSg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-04-01 15:25:37"") OR ([ds6w:modified]>""2020-04-27 15:58:21"")))","Here is the natural language equivalent for the given UQL query:

""Retrieve documents in the container 'wym:215dsi0708:DSEXT001:community:_-n3aDeRReSbBjvs3AlhSg' with types 'Post', 'Idea', 'Question', or 'WikitreePage' with visibility level 1, modified before '2019-04-01 15:25:37' or after '2020-04-27 15:58:21'."""
[ds6w:label]:Backend (3ds.com),"""Retrieve documents with label Backend (3ds.com)"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:VPS5HNFAQeOlqy5BYbmFDw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-10-17 08:43:07"") OR ([ds6w:modified]>""2023-04-24 01:57:49"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:VPS5HNFAQeOlqy5BYbmFDw' that are either of type Post, Idea, or Question or are WikitreePages with visibility set to 1, created before 2019-10-17 08:43:07 or after 2023-04-24 01:57:49."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:748B1cKgQiioWCuk0zOFhA"")","""Retrieve documents with resourceUid swym:215dsi0708:DSEXT001:community:748B1cKgQiioWCuk0zOFhA."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:ygIjPs3gSSqY8FVRjrjtcA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-07-04 12:23:33"") OR ([ds6w:modified]>""2024-04-23 09:27:08"")))","""Find all swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents with wiki_visibility=1 in container swym:215dsi0708:DSEXT001:community:ygIjPs3gSSqY8FVRjrjtcA, created before 2023-07-04 12:23:33 or after 2024-04-23 09:27:08."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:fNQFcQzHSTGP7w_tywORsA"")",Retrieve documents with resource Uid equal to swym:215dsi0708:DSEXT001:community:fNQFcQzHSTGP7w_tywORsA.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:2477"")","Retrieve documents with resource UID matching ""swym:215dsi0708:DSEXT001:community:2477""."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:6_2RIRr_RLWDlfgnxylQtA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2020-06-04 13:05:17"") OR ([ds6w:modified]>""2024-05-16 12:19:02"")))","""Retrieve documents from the community space 'wym:215dsi0708:DSEXT001:6_2RIRr_RLWDlfgnxylQtA' that are either 'Post', 'Idea', or 'Question' or 'WikitreePage' with visibility set to 1. Filter results to include only documents modified before June 4, 2020 13:05:17 or after May 16, 2024 12:19:02."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:224"")",Retrieve documents matching the resourceUid swym:215dsi0708:DSEXT001:community:224.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:ZRnJJV_sSbu8-Y5FrnHfUQ"")","""Retrieve resources with the specified resource Uid: swym:215dsi0708:DSEXT001:community:ZRnJJV_sSbu8-Y5FrnHfUQ."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:PR5ZSqdaTwyZGvmFXd80pg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-01-29 15:24:15"") OR ([ds6w:modified]>""2024-04-19 08:02:08"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:PR5ZSqdaTwyZGvmFXd80pg that are either Post, Idea, Question, or WikitreePage with visibility 1, and have a modification date before 2019-01-29 15:24:15 or after 2024-04-19 08:02:08."""
"[ds6w:resourceUid]:(""80163ad3-50cb-476a-82e6-5471f9d56430"" BOR ""e8e0077f-d1ad-4478-86bd-beed7796527d"" BOR ""24db89e4-0362-437c-a31b-060c5e558034"" BOR ""07b48edd-ab6a-474d-9749-680ea788838e"" BOR ""7a5186c7-3948-4bb7-b1a5-7109c4ce3179"")","I can do that!

The natural language equivalent of the given UQL query is:

""Retrieve documents with resource UID 80163ad3-50cb-476a-82e6-5471f9d56430, e8e0077f-d1ad-4478-86bd-beed7796527d, 24db89e4-0362-437c-a31b-060c5e558034, 07b48edd-ab6a-474d-9749-680ea788838e, or 7a5186c7-3948-4bb7-b1a5-7109c4ce3179."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:1341"")",Retrieve resources with resource ID swym:215dsi0708:DSEXT001:community:1341.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:QksVvynPSQOe97PbKUC4UA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-08-08 08:57:25"") OR ([ds6w:modified]>""2024-05-17 14:24:39"")))","""Retrieve posts, ideas, or questions in the community 'QksVvynPSQOe97PbKUC4UA' that are either wiki pages with visibility 1 or of type post, idea, or question, and were modified before August 8, 2023 or after May 17, 2024."""
"([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8IUPSWV6Sbi8o3-W64UkTw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1)))","""Give me documents in the container 'wym:215dsi0708:DSEXT001:community:8IUPSWV6Sbi8o3-W64UkTw' that are of type 'Post', 'Idea', or 'Question', or if they are 'WikitreePage' with wiki visibility set to 1."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:rxgoE3RdQ3yxEzbj4RkD_w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2024-03-12 08:36:41"") OR ([ds6w:modified]>""2024-04-26 16:30:05"")))","""Retrieve documents within container swym:215dsi0708:DSEXT001:community:rxgoE3RdQ3yxEzbj4RkD_w, with type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, modified before 2024-03-12 08:36:41 or after 2024-04-26 16:30:05."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:1211"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2013-12-10 20:10:09"") OR ([ds6w:modified]>""2017-11-29 08:07:59"")))","""Retrieve posts, ideas, or questions from community 1211 of DSEXT001 with container UID swym:215dsi0708, where the type is WikitreePage with visibility 1 and the modified date is before December 10, 2013, 20:10:09 or after November 29, 2017, 08:07:59."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:jhwNaoA2SSOnWFSlYLIBQw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-01-19 15:00:13"") OR ([ds6w:modified]>""2024-05-16 07:48:15"")))","""Return swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents with wiki visibility set to 1 from the community 'jhwNaoA2SSOnWFSlYLIBQw' that were modified before January 19, 2021 15:00:13 or after May 16, 2024 07:48:15."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:bRZ1KIKkT6e37SEQiwI2YA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-05-12 06:21:43"") OR ([ds6w:modified]>""2024-05-20 08:39:50"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:bRZ1KIKkT6e37SEQiwI2YA' that are either posts, ideas, or questions or are wiki pages with visibility set to 1, and were modified before May 12, 2022, or after May 20, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2184"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2017-03-15 13:27:52"") OR ([ds6w:modified]>""2024-05-20 07:15:29"")))","""Retrieve documents from 'wym:215dsi0708:DSEXT001:community:2184' with type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' with visibility 1, and modified date before '2017-03-15 13:27:52' or after '2024-05-20 07:15:29'."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:juvUAgtESc6u_VTFUAdSAw"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:juvUAgtESc6u_VTFUAdSAw."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:mku6TLn8RcS34n54xl0kEA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-02-02 09:54:57"") OR ([ds6w:modified]>""2022-11-30 09:01:37"")))","""Retrieve documents from community mku6TLn8RcS34n54xl0kEA that are of type Post, Idea, or Question, or are Wikitree Pages with visibility 1, and were modified between February 2, 2021, 9:54:57 AM and November 30, 2022, 9:01:37 AM."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:AGhiBlx7Q86alsJ-_IpR1Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-07-09 09:08:54"") OR ([ds6w:modified]>""2022-06-30 13:45:26"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:AGhiBlx7Q86alsJ-_IpR1Q', type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage with visibility 1, and modified between July 9, 2021 09:08:54 and June 30, 2022 13:45:26."""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:csk93CizRIiwRSf-i4ybUQ"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:csk93CizRIiwRSf-i4ybUQ."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:IG1bLKdvS9G9Z9VupDoFqg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-05-26 02:56:24"") OR ([ds6w:modified]>""2024-04-09 00:50:19"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:IG1bLKdvS9G9Z9VupDoFqg' that are of type Post, Idea, or Question or a WikitreePage with visibility set to 1, and were modified after April 9, 2024, or before May 26, 2023."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:solRM_e0QBGzosPiIEQgog"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-22 17:00:57"") OR ([ds6w:modified]>""2024-04-27 11:37:00"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:solRM_e0QBGzosPiIEQgog' and type 'Post', 'Idea', or 'Question' or 'WikitreePage' with visibility 1, modified before March 22, 2022 17:00:57 or after April 27, 2024 11:37:00."""
Widgetに,Search for the literal
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:5fQ33a6ST8eJorbY17jVTw"")","""Retrieve documents with resourceUid matching swym:215dsi0708:DSEXT001:community:5fQ33a6ST8eJorbY17jVTw."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:3Isl6PMmR2G7-vn0PlGeCQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-11-18 13:52:03"") OR ([ds6w:modified]>""2024-05-16 11:48:13"")))","""Give me documents from the container swym:215dsi0708:DSEXT001:community:3Isl6PMmR2G7-vn0PlGeCQ that are of type swym:Post, swym:Idea, or swym:Question, or are swym:WikitreePages with visibility 1, and were modified before 2022-11-18 13:52:03 or after 2024-05-16 11:48:13."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:298"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-09-15 18:32:26"") OR ([ds6w:modified]>""2023-07-26 08:46:02"")))","""Retrieve posts, ideas, or questions from the community 298 in the container 'wym:215dsi0708:DSEXT001' that were modified before September 15, 2010 or after July 26, 2023, and are publicly visible wiki pages."""
"[ds6w:resourceUid]:(""iam:kop"")",Retrieve documents with resourceUid equal to iam:kop.
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:e5VGoSwLS2-8IH-N1qehKw"")","""Retrieve documents with resource UID swym:215dsi0708:DSEXT001:community:e5VGoSwLS2-8IH-N1qehKw."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:NpM54wQHRuSLGm8pIigbxg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-10-14 11:50:24"") OR ([ds6w:modified]>""2022-11-10 21:36:09"")))","""Find documents in the community 'wym:215dsi0708:DSEXT001:NpM54wQHRuSLGm8pIigbxg' that are of type 'post', 'idea', or 'question' or are WikiTree pages with visibility set to 1, and were modified before October 14, 2022, 11:50:24 or after November 10, 2022, 21:36:09."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:PeGRzuMFRvGSpyPt4mImTA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-06-10 14:10:37"") OR ([ds6w:modified]>""2024-05-16 13:17:59"")))","""Retrieve swym:Post, swym:Idea, swym:Question, and swym:WikitreePage documents from the swym:215dsi0708:DSEXT001:community:PeGRzuMFRvGSpyPt4mImTA container, with visibility set to 1, created before 2022-06-10 14:10:37 or after 2024-05-16 13:17:59."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:44UjAL1_Se2yBBAykOA4mQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-11-20 17:34:23"") OR ([ds6w:modified]>""2021-04-30 17:29:57"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:44UjAL1_Se2yBBAykOA4mQ' that are of type 'Post', 'Idea', or 'Question', or are 'WikitreePages' with visibility level 1, and were modified before November 20, 2019, 17:34:23 or after April 30, 2021, 17:29:57."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:RYkcf8CnStGAJNx3KccA1w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-05-13 05:11:43"") OR ([ds6w:modified]>""2024-05-20 09:43:43"")))","""Retrieve documents from the container 'wym:215dsi0708:DSEXT001:community:RYkcf8CnStGAJNx3KccA1w' with type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage' having visibility 1, created before 2019-05-13 05:11:43 or after 2024-05-20 09:43:43."""
[ds6w:resourceUid]:(235f47f2-9a99-43cf-a796-42aa98c0e03e OR 1ee644c2-971f-49a5-9bda-e6e095d5221c),Retrieve resources with resource UIDs 235f47f2-9a99-43cf-a796-42aa98c0e03e or 1ee644c2-971f-49a5-9bda-e6e095d5221c.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:490"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2011-11-09 22:42:55"") OR ([ds6w:modified]>""2024-05-16 18:00:06"")))","""Retrieve documents with container ID 'wym:215dsi0708:DSEXT001:community:490, either of type swym:Post, swym:Idea, swym:Question, or swym:WikitreePage with visibility 1, and modified after 2011-11-09 22:42:55 or before 2024-05-16 18:00:06."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:l5q4lmGDQzmj4CX6tCm-EQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-04-21 14:53:17"") OR ([ds6w:modified]>""2021-05-12 08:17:16"")))","""Retrieve documents from container swym:215dsi0708:DSEXT001:community:l5q4lmGDQzmj4CX6tCm-EQ that are of type Post, Idea, or Question, or are a WikitreePage with visibility 1, and were modified before April 21, 2021, 14:53:17, or after May 12, 2021, 08:17:16."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:tmP2IOZZS3exK2gJEwaD3Q"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-12-20 15:28:16"") OR ([ds6w:modified]>""2020-06-03 13:11:24"")))","""Give me documents from container ID swym:215dsi0708:DSEXT001:community:tmP2IOZZS3exK2gJEwaD3Q that are of type Post, Idea, or Question, or are Wikitree pages with visibility set to 1, and were modified before December 20, 2018 15:28:16 or after June 3, 2020 13:11:24."""
[ds6w:label]:Meetin*,"Here is the natural language equivalent for the given UQL query:

""Retrieve documents with label starting with Meetin*"""
"[ds6w:resourceUid]: (""swym:215dsi0708:DSEXT001:community:4z39qJYETP--TtdvRsxIsw"")","""Retrieve documents with resource UID matching swym:215dsi0708:DSEXT001:community:4z39qJYETP--TtdvRsxIsw"""
"[ds6w:resourceUid]:""FEEF6C4FCC942A006628C705000224FE""",Retrieve documents with resourceUid FEEF6C4FCC942A006628C705000224FE.
"[ds6w:resourceUid]:(""d09763db-1c73-44ec-bf89-83e0d221449f"" BOR ""e998eaee-8018-4e50-8076-eb6e86c39f99"" BOR ""8b0f01b6-95e4-4fe7-b1dc-eb7b535ce7ce"" BOR ""347c174d-f62a-4822-b0fd-6fcd3da45d61"" BOR ""d85a5438-cf25-4cd3-8e92-4e82475dc66c"")","""Retrieve documents with resourceUid equal to 'd09763db-1c73-44ec-bf89-83e0d221449f' or 'e998eaee-8018-4e50-8076-eb6e86c39f99' or '8b0f01b6-95e4-4fe7-b1dc-eb7b535ce7ce' or '347c174d-f62a-4822-b0fd-6fcd3da45d61' or 'd85a5438-cf25-4cd3-8e92-4e82475dc66c'."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2DiKZgtWR4aSVAtqKviPXg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-10-21 09:53:46"") OR ([ds6w:modified]>""2020-11-02 15:13:29"")))","""Retrieve documents whose container ID is 'wym:215dsi0708:DSEXT001:community:2DiKZgtWR4aSVAtqKviPXg' and are of type Post, Idea, or Question, or are Wikitree Pages with visibility set to 1, and were modified before October 21, 2019 09:53:46 or after November 2, 2020 15:13:29."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:2467"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-04-18 15:58:25"") OR ([ds6w:modified]>""2024-05-17 10:23:14"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:2467, of type 'wym:Post', 'wym:Idea', 'wym:Question', or 'wym:WikitreePage with wiki visibility set to 1, that were modified before 2018-04-18 15:58:25 or after 2024-05-17 10:23:14"""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:233"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-05-27 11:26:51"") OR ([ds6w:modified]>""2024-05-20 16:22:54"")))","""Find documents with container UID 'wym:215dsi0708:DSEXT001:community:233 that are of type Post, Idea, or Question, or are Wikitree Pages with visibility set to 1, and were modified before 2010-05-27 11:26:51 or after 2024-05-20 16:22:54."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:arjb7SHARH-qRPPlfWYLkw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2023-05-10 13:50:27"") OR ([ds6w:modified]>""2024-04-19 12:37:52"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:arjb7SHARH-qRPPlfWYLkw' that are either posts, ideas, or questions, or are wiki pages with visibility set to 1, and were modified before May 10, 2023, or after April 19, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:e8xZZ-XcRa6l1YiqxJVLcw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-03-09 16:14:37"") OR ([ds6w:modified]>""2024-05-20 21:41:00"")))","""Show me posts, ideas, and questions from the community 'wym:215dsi0708:DSEXT001' that are either visible in the wiki or have been modified between March 9th, 2022, and May 20th, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:pnbKrDVdTi64SxkmNYFsGw"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-04-24 10:10:34"") OR ([ds6w:modified]>""2024-05-20 11:15:07"")))","""Retrieve documents with container UID 'wym:215dsi0708:DSEXT001:community:pnbKrDVdTi64SxkmNYFsGw' that are either of type 'Post', 'Idea', or 'Question' or are of type 'WikitreePage' with visibility 1 and created before 10:10:34 on April 24, 2018 or after 11:15:07 on May 20, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:o3f0GB3USW-0nb814-K7zQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2021-06-08 16:03:00"") OR ([ds6w:modified]>""2024-05-14 22:28:29"")))","Retrieve documents from a community with ID o3f0GB3USW-0nb814-K7zQ, which are either posts, ideas, or questions, and are either older than June 8, 2021, or newer than May 14, 2024, and are wiki pages with visibility set to 1."
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:8dGMg38-SbS-hH1boElvoQ"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-01-29 20:07:27"") OR ([ds6w:modified]>""2023-01-11 17:26:15"")))","""Retrieve posts, ideas, or questions in the community '8dGMg38-SbS-hH1boElvoQ' created by community members that are older than January 29, 2018 or newer than January 11, 2023, and excluding wiki pages with visibility 1."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:gDoib8J1Sue3MrE4zYV1Jg"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-06-04 15:02:17"") OR ([ds6w:modified]>""2024-05-16 07:19:02"")))","""Give me all documents in the swym:215dsi0708:DSEXT001:community:gDoib8J1Sue3MrE4zYV1Jg container that are swym:Post, swym:Idea, or swym:Question, or are swym:WikitreePages with visibility 1, and were modified before 2018-06-04 15:02:17 or after 2024-05-16 07:19:02."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:oDSXCCaRSp2J-QWK_hge8w"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2019-02-18 12:38:21"") OR ([ds6w:modified]>""2024-05-15 08:07:14"")))","""Retrieve Wikitree pages or posts or ideas from the community oDSXCCaRSp2J-QWK_hge8w, created between February 18, 2019 and May 15, 2024."""
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:203"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2010-02-23 18:01:36"") OR ([ds6w:modified]>""2024-05-16 12:47:25"")))","""Retrieve documents with container ID swym:215dsi0708:DSEXT001:community:203 and type either Post, Idea, or Question, or if type is WikitreePage and visibility is 1, and modified date is before 2010-02-23 18:01:36 or after 2024-05-16 12:47:25."""
[ds6w:resourceUid]:(5632fb96-9d69-48b8-b3a9-9f3791d157c5),Retrieve documents with resourceUid equal to 5632fb96-9d69-48b8-b3a9-9f3791d157c5.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:QfDLY0SNQAWhVEyB-Ye3PA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2022-04-08 14:07:24"") OR ([ds6w:modified]>""2022-04-08 14:07:24"")))","Find documents with container ID ""swym:215dsi0708:DSEXT001:community:QfDLY0SNQAWhVEyB-Ye3PA"" and type ""Post"", ""Idea"", ""Question"" or ""WikitreePage with visibility 1, created before or after April 8, 2022, 2:07:24 PM."
[ds6w:resourceUid]:(98856597-af2d-4e88-a84c-d5a75ac9f063 OR bcb24ee8-a819-4dcd-9614-009f067b9f3e),Retrieve documents with resource UID 98856597-af2d-4e88-a84c-d5a75ac9f063 or bcb24ee8-a819-4dcd-9614-009f067b9f3e.
"(([ds6w:containerUid]:""swym:215dsi0708:DSEXT001:community:gqgvUaoXQSSDx28RtJr9AA"" ([ds6w:type]:(""swym:Post"" OR ""swym:Idea"" OR ""swym:Question"") OR ([ds6w:type]:""swym:WikitreePage"" wiki_visibility:1))) (([ds6w:modified]<""2018-03-15 10:10:31"") OR ([ds6w:modified]>""2018-03-30 17:01:36"")))","""Retrieve documents in container 'wym:215dsi0708:DSEXT001:community:gqgvUaoXQSSDx28RtJr9AA' with type 'Post', 'Idea', or 'Question' or type 'WikitreePage' with visibility set to 1, created before '2018-03-15 10:10:31' or after '2018-03-30 17:01:36'."""
